AGENTID1,AGENTID2,CLIENTS
A25288,A4109,1
A25303,A8762,1
A25315,A9733,1
A25324,A27659,1
A25333,A4532,1
A25350,A27827,1
A25350,A5953,1
A25362,A5193,1
A25393,A4885,1
A25408,A31282,1
A25460,A27734,1
A25465,A3366,1
A25480,A5877,1
A25559,A29853,1
A25637,A8579,1
A25910,A4685,1
A25957,A8464,5
A25957,A9060,3
A25983,A9764,1
A25997,A7433,1
A26155,A7484,1
A26177,A2874,1
A26200,A2820,1
A26267,A27625,1
A26267,A8462,1
A26333,A4845,1
A26434,A30292,1
A26434,A30427,1
A2650,A8763,1
A26543,A2820,1
A26644,A8464,2
A26645,A7009,1
A26689,A7832,2
A26740,A9324,1
A26799,A30351,2
A26799,A30621,4
A26920,A28788,1
A26937,A4842,1
A26975,A4885,1
A27032,A8464,4
A27032,A9060,1
A27136,A6623,1
A27219,A4023,1
A27560,A4079,1
A27560,A9375,1
A27588,A3215,1
A27837,A30282,1
A27837,A8250,1
A28006,A8410,1
A28089,A29196,1
A28110,A4019,1
A2820,A4685,3
A28210,A6510,2
A28210,A8556,2
A28228,A29502,1
A28293,A28315,1
A2833,A8506,1
A28422,A28861,1
A28476,A6510,1
A28476,A9326,1
A2875,A7141,1
A28788,A6889,1
A28788,A8409,1
A28788,A8464,2
A29054,A30292,5
A29054,A6510,3
A29274,A9280,1
A29920,A5075,1
A30282,A8250,1
A30292,A6510,4
A30292,A9326,1
A30351,A30621,1
A30621,A4833,1
A30621,A7004,1
A30621,A8410,8
A31249,A7484,1
A3595,A8556,1
A3890,A4685,1
A4074,A74,1
A4369,A8404,1
A4401,A837,1
A4740,A6428,1
A4845,A4942,1
A4885,A6098,1
A4938,A6510,1
A4975,A8322,1
A5062,A5830,1
A5364,A9238,1
A5552,A7832,1
A6006,A6527,5
A6006,A7851,1
A6169,A9921,1
A6307,A6510,1
A6393,A6783,1
A6510,A9869,1
A6623,A7865,1
A6889,A8464,1
A7004,A8410,1
A8021,A8404,1
A8409,A8464,7
A8409,A964,1
A8464,A9060,1
A8464,A964,2
A8556,A9326,2
